dataset,model,split_index,repeat,fold,train_size,test_size,fit_seconds,predict_seconds,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc
kc1,Random Forest,9,2,4,1687,422,0.1711100830000003,0.013707207999999582,0.8459715639810427,0.6001447054817841,0.5161290322580645,0.24242424242424243,0.32989690721649484,0.8109891045284303,0.4320216703032813,0.2788596837249994
kc1,Random Forest,10,2,5,1688,421,0.16728695900000012,0.013367999999999824,0.8764845605700713,0.6377268798617113,0.76,0.2923076923076923,0.4222222222222222,0.8450086430423509,0.5661099097723543,0.42112670715894396
kc1,SVM,1,1,1,1687,422,0.18453570900000038,0.021938583000000733,0.8507109004739336,0.5531351001939238,0.5714285714285714,0.12307692307692308,0.20253164556962025,0.6490627020038785,0.3670105796314521,0.21419443662254067
kc1,SVM,2,1,2,1687,422,0.1721373340000003,0.022590165999998746,0.8459715639810427,0.5377504848093083,0.5,0.09230769230769231,0.15584415584415584,0.700667959491489,0.3894746353500724,0.1639686285009514
kc1,SVM,3,1,3,1687,422,0.17374170800000144,0.02191050000000061,0.8507109004739336,0.5594268476621418,0.5625,0.13846153846153847,0.2222222222222222,0.7089204912734325,0.4339199524309972,0.22463657420761307
kc1,SVM,4,1,4,1687,422,0.17961150000000004,0.0223357919999998,0.8530805687203792,0.5735018726591761,0.6111111111111112,0.16666666666666666,0.2619047619047619,0.7319969356486209,0.4663894979094533,0.26423992131947105
kc1,SVM,5,1,5,1688,421,0.17294095799999987,0.021256959000000464,0.8408551068883611,0.5412057044079516,0.4375,0.1076923076923077,0.1728395061728395,0.7098746758859118,0.3693842928476716,0.15573330945780403
kc1,SVM,6,2,1,1687,422,0.17524737500000143,0.021459250000001262,0.8459715639810427,0.5440422322775263,0.5,0.1076923076923077,0.17721518987341772,0.7116569704804999,0.4027549659094321,0.17753991421592585
kc1,SVM,7,2,2,1687,422,0.17513283300000104,0.022039166999999082,0.8483412322274881,0.5517345399698341,0.5333333333333333,0.12307692307692308,0.2,0.6968110321051498,0.40535325131483324,0.2017244497673252
kc1,SVM,8,2,3,1687,422,0.1943755419999995,0.023464625000000794,0.8507109004739336,0.5531351001939238,0.5714285714285714,0.12307692307692308,0.20253164556962025,0.7172161172161171,0.39232808200054636,0.21419443662254067
kc1,SVM,9,2,4,1687,422,0.17853999999999992,0.021549667000000383,0.8436018957345972,0.5678838951310862,0.5,0.16666666666666666,0.25,0.679562478719782,0.42075995941314814,0.2218463972437629
kc1,SVM,10,2,5,1688,421,0.17393745799999927,0.021586375000000046,0.8574821852731591,0.5573249783923941,0.7272727272727273,0.12307692307692308,0.21052631578947367,0.7559853068280036,0.4585971707801343,0.25969722066105816
kc1,Logistic Regression,1,1,1,1687,422,0.021060166999999907,0.003033625000000484,0.8625592417061612,0.5853048911872442,0.7058823529411765,0.18461538461538463,0.2926829268292683,0.8247145011850896,0.46599446042191206,0.31321513749487434
kc1,Logistic Regression,2,1,2,1687,422,0.023784959000000327,0.002287332999999947,0.8554502369668247,0.5873949579831933,0.5909090909090909,0.2,0.2988505747126437,0.7880629174746822,0.4353500797969251,0.2838349190429952
kc1,Logistic Regression,3,1,3,1687,422,0.021501041000000498,0.0021006670000005556,0.8507109004739336,0.5720103425985779,0.55,0.16923076923076924,0.25882352941176473,0.8145442792501616,0.47719452899244835,0.24467389453673427
kc1,Logistic Regression,4,1,4,1687,422,0.019695000000000462,0.0020611670000008075,0.8578199052132701,0.6133384405856316,0.6071428571428571,0.25757575757575757,0.3617021276595745,0.7975400068096697,0.5072010826362061,0.33080881131629813
kc1,Logistic Regression,5,1,5,1688,421,0.018216875000000243,0.002077959000001073,0.850356294536817,0.590838375108038,0.5384615384615384,0.2153846153846154,0.3076923076923077,0.7770311149524632,0.4461289128080085,0.2727067001283186
kc1,Logistic Regression,6,2,1,1687,422,0.019032125000000732,0.0020803750000002452,0.8459715639810427,0.5692092221503986,0.5,0.16923076923076924,0.25287356321839083,0.7772031889678949,0.4035058590330996,0.22477262326580388
kc1,Logistic Regression,7,2,2,1687,422,0.023882332999999534,0.002193166000001412,0.8601895734597157,0.5964878258995906,0.6363636363636364,0.2153846153846154,0.3218390804597701,0.8004524886877828,0.4890388803906672,0.31336606693159086
kc1,Logistic Regression,8,2,3,1687,422,0.021375709000000853,0.0021895000000000664,0.8601895734597157,0.6027795733678086,0.625,0.23076923076923078,0.33707865168539325,0.7908640379228614,0.4864949366505863,0.3203910942906555
kc1,Logistic Regression,9,2,4,1687,422,0.02237466699999935,0.0020838750000002904,0.8554502369668247,0.605762683009874,0.5925925925925926,0.24242424242424243,0.34408602150537637,0.8017109295199183,0.44290026574855623,0.3139633772614725
kc1,Logistic Regression,10,2,5,1688,421,0.020221958000000484,0.002046040999999832,0.8622327790973872,0.5915730337078652,0.6842105263157895,0.2,0.30952380952380953,0.8381590319792568,0.5305679221699223,0.31877881218104365
kc2,Random Forest,1,1,1,417,105,0.07805070799999925,0.00885025000000006,0.8095238095238095,0.7291894852135816,0.5416666666666666,0.5909090909090909,0.5652173913043478,0.7902519167579409,0.6296125285168763,0.44424949326617225
