dataset,model,n_folds,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,mcc_mean,mcc_std,mcc_ci95_low,mcc_ci95_high,fit_seconds_mean,predict_seconds_mean
kc2,SVM,10,0.8467216117216116,0.025659653678800805,0.8283658012572124,0.8650774221860109,0.6496831481771241,0.05766532789038083,0.6084318576346582,0.69093443871959,0.8433394383394383,0.15164658329992042,0.7348580077063042,0.9518208689725723,0.31623376623376626,0.11676035275285578,0.2327084415463762,0.3997590909211563,0.448761483727001,0.12767018146225892,0.3574317377291895,0.5400912297248124,0.7884916288530747,0.06332595025062225,0.743190973013018,0.8337922846931314,0.6288940753419124,0.09379033076400448,0.5618005145149512,0.6959876361688737,0.44925768612329,0.12153068790434952,0.3623198692413999,0.53619550300518,0.014266275000000129,0.003292420800000073
kc3,Logistic Regression,10,0.9115981844242714,0.018030153600741373,0.8987001895299506,0.9244961793185923,0.594946452476573,0.05764564059499795,0.5537092453768194,0.6361836595763265,0.5661904761904761,0.37665867321734586,0.2967450931040424,0.8356358592769099,0.20555555555555555,0.11653431646335016,0.12219192748886733,0.2889191836222438,0.29350732600732604,0.16589452046967038,0.17483353512372332,0.41218111689092873,0.817218875502008,0.04651901303418785,0.7839411782682402,0.8504965727357758,0.45035227459724797,0.1261085103379041,0.3601396808231263,0.5405648683713696,0.30317658884840687,0.19781241724320384,0.16167011008323406,0.4446830676135797,0.009640499899999887,0.0019144167000002099
kc3,Random Forest,10,0.8941829909221214,0.02202920648772389,0.878424245927685,0.9099417359165578,0.5407295850066933,0.06587267072787811,0.4936071150856097,0.5878520549277769,0.23333333333333334,0.25531389540169014,0.05069277506294964,0.415973891603717,0.10555555555555556,0.13163136996285893,0.011392146007918297,0.1997189651031928,0.14216117216117213,0.1683266499758813,0.021747540639043425,0.26257480368330083,0.85985609103079,0.0400060433839107,0.8312374916148403,0.8884746904467397,0.3793154723265344,0.08949541098296458,0.315294312025606,0.4433366326274628,0.11255739227732897,0.17861696111950875,0.0,0.24033226894082035,0.07664359170000008,0.008405262400000169
kc3,SVM,10,0.9061395126612519,0.0051195670924544445,0.902477194985994,0.9098018303365099,0.5049531459170014,0.01566322268088754,0.49374835140219525,0.5161579404318074,0.05,0.15811388300841897,0.0,0.16310785814270495,0.01111111111111111,0.03513641844631533,0.0,0.03624619069837888,0.01818181818181818,0.05749595745760689,0.0,0.05931194841552906,0.6937583668005354,0.12179562137446803,0.6066310279311686,0.7808857056699021,0.34778600077580385,0.09859866156635096,0.2772527673031076,0.4183192342485001,0.020180650739923544,0.0638168210025207,0.0,0.06583245436229845,0.011916395800000146,0.002892691700000327
mc2,Logistic Regression,10,0.7174242424242424,0.07953818910222088,0.6605260495601621,0.7743224352883227,0.6383116883116883,0.09689322209454891,0.5689984527428907,0.7076249238804858,0.611111111111111,0.2325034131504744,0.444788188848059,0.7774340333741632,0.4136363636363637,0.1597892321604209,0.29933003290783244,0.5279426943648949,0.47924038036267136,0.1617187683172155,0.36355374261902296,0.5949270181063198,0.729947855175128,0.1043737826883171,0.6552833489249141,0.8046123614253418,0.6374920616141269,0.13566920046292744,0.5404401621330552,0.7345439610951985,0.31529788194685215,0.21736664829853247,0.1598031489549583,0.470792614938746,0.006405116600000227,0.0018029208999999825
mc2,Random Forest,10,0.7017992424242424,0.06107681296578885,0.6581075224734072,0.7454909623750776,0.6074242424242424,0.06017186682163636,0.5643798819471741,0.6504686029013107,0.6021428571428571,0.19006055843603079,0.46618172410964204,0.7381039901760722,0.33909090909090905,0.11892153890300818,0.25401956496588113,0.424162253215937,0.4180142569848453,0.10569669400248287,0.3424033969900328,0.4936251169796578,0.7103640299094844,0.10341665622932551,0.6363842106816143,0.7843438491373546,0.5983313345097055,0.08611295245377336,0.5367298392768532,0.6599328297425578,0.26599175464036573,0.15124512885906152,0.1577975072139397,0.37418600206679176,0.06471396670000011,0.00786369990000022
mc2,SVM,10,0.7174242424242425,0.04236670882342557,0.6871169246834079,0.7477315601650771,0.5913636363636364,0.05237473577650204,0.5538970074266011,0.6288302653006718,0.7666666666666667,0.26712922844825127,0.5755739283048733,0.9577594050284601,0.23272727272727273,0.10910774280894633,0.15467629541209332,0.31077825004245213,0.33724358974358976,0.12442227146435783,0.24823725859280543,0.4262499208943741,0.704056473829201,0.11530210220571525,0.6215743187413691,0.7865386289170329,0.5775667984252186,0.1310616445773749,0.4838109458666042,0.671322650983833,0.28930101326001556,0.14476253102631031,0.18574413696199316,0.39285788955803796,0.005930195799999716,0.002165916799999934
mw1,Logistic Regression,10,0.9305401234567903,0.02110263253362663,0.9154442095393263,0.9456360373742543,0.6165559845559845,0.08138104650255043,0.5583394909238268,0.6747724781881421,0.5916666666666667,0.3479436948915942,0.34276274163086495,0.8405705917024684,0.2452380952380952,0.1599358967076545,0.13082684701283676,0.35964934346335364,0.3369047619047619,0.20321774302259413,0.1915315460141854,0.4822779777953383,0.7700652080652082,0.11295365503968896,0.689263030875942,0.8508673852544744,0.41419887306580555,0.1467716348180331,0.3092047704955269,0.5191929756360842,0.34797255434748237,0.21918516935765872,0.19117692975725734,0.5047681789377074,0.007178495799999851,0.0018756957999997326
mw1,Random Forest,10,0.9094598765432099,0.02596672458558066,0.8908844007850176,0.9280353523014022,0.5845495495495496,0.09436401899874289,0.517045596881984,0.6520535022171152,0.3035714285714286,0.24853121063685304,0.12578291068871303,0.48135994645414415,0.19999999999999998,0.1892154040658489,0.06464345398212076,0.33535654601787923,0.23243589743589746,0.20413999558931653,0.08640294180265062,0.3784688530691443,0.7524686829686831,0.11771328003689788,0.6682616751677488,0.8366756907696173,0.3164325319713459,0.12184616004021624,0.22926903991841674,0.4035960240242751,0.2012036909885077,0.2113485313466002,0.050014059519224136,0.3523933224577913,0.0776302875999999,0.00822350839999988
mw1,SVM,10,0.9255709876543211,0.008113902788795282,0.9197666512598384,0.9313753240488039,0.5166666666666667,0.03513641844631534,0.4915315870793989,0.5418017462539345,0.2,0.42163702135578396,0.0,0.5016209550472133,0.03333333333333333,0.07027283689263066,0.0,0.08360349250786886,0.05714285714285714,0.12046772038736683,0.0,0.14332027287063231,0.778117546117546,0.10252419949634084,0.7047761519769123,0.8514589402581797,0.4061060276448158,0.1613058497497999,0.2907147740499789,0.5214972812396527,0.079040259304373,0.16663150214066513,0.0,0.19824125511590865,0.009416079200000382,0.002573062599999787
pc1,Random Forest,10,0.9368778280542986,0.005646652779692804,0.9328384559926272,0.9409172001159701,0.6327680749026781,0.05364425068754707,0.5943932897067715,0.6711428600985846,0.6505772005772006,0.20356928587902662,0.5049525060765243,0.7962018950778769,0.27958333333333335,0.11458880458318112,0.1976114406258064,0.3615552260408603,0.3684698634698635,0.10792529028890852,0.2912647617308965,0.4456749652088305,0.8463042989697168,0.042415963302035585,0.8159617466974577,0.8766468512419759,0.43024572982927073,0.08642037977127826,0.3684243143417518,0.49206714531678963,0.3845570732236919,0.09286720785454358,0.3181238747450896,0.4509902717022943,0.11268540410000014,0.009510775000000037
pc1,Logistic Regression,10,0.926509314744609,0.008521528786011713,0.920413380277957,0.9326052492112609,0.5528333274705689,0.05131274345295241,0.5161264020762915,0.5895402528648463,0.3675,0.21032199006802127,0.21704471192362995,0.51795528807637,0.11875,0.10401377668722897,0.04434302652886177,0.19315697347113822,0.1721706440013076,0.1318884005091198,0.07782336587735267,0.26651792212526254,0.8120862402873537,0.03845280852748103,0.7845787581525728,0.8395937224221345,0.26080540038495925,0.0611219965806037,0.2170813580232287,0.3045294427466898,0.1745643308717139,0.13754214359396597,0.07617260858733045,0.2729560531560974,0.010780137600000118,0.0018806418000014702
pc1,SVM,10,0.9301169948228771,0.002379965402780151,0.928414470135985,0.9318195195097693,0.5057325230992917,0.012763764685784905,0.4966018758849054,0.514863170313678,0.13333333333333333,0.32203059435976533,0.0,0.3637001429481212,0.012916666666666665,0.027248428429027825,0.0,0.03240901812070073,0.02287581699346405,0.048251055752396736,0.0,0.05739254294716947,0.5989491923064897,0.08415333449931497,0.5387495233104579,0.6591488613025215,0.2531714457768276,0.08523999757009539,0.19219442484863056,0.31414846670502466,0.03470991673990055,0.08293141806119027,0.0,0.09403547937337915,0.03367265840000009,0.005102833300000498
pc3,Random Forest,10,0.9008284181207504,0.005075895711887387,0.8971973410691751,0.9044594951723257,0.580686800965938,0.01955633668965561,0.5666970404591598,0.5946765614727163,0.5665265290265291,0.0902951046706313,0.501933302323453,0.6311197557296052,0.178125,0.04431676538788051,0.14642269582871464,0.20982730417128537,0.26614231049132425,0.04902947593526925,0.2310687362840403,0.3012158846986082,0.8430601804778851,0.03970413193991311,0.814657555498396,0.8714628054573742,0.43374837852409465,0.052682909395588055,0.39606129546040275,0.47143546158778654,0.27485637506066996,0.039569972264809114,0.2465497221312717,0.3031630279900682,0.1798564625000001,0.0111551917000007
pc3,Logistic Regression,10,0.8969935283034325,0.008218244382595856,0.8911145504292427,0.9028725061776223,0.5702448207930859,0.02731062963810951,0.5507079732745744,0.5897816683115974,0.515966810966811,0.12191235003762978,0.4287559694421247,0.6031776524914972,0.159375,0.0579039254570304,0.11795302704047925,0.20079697295952073,0.2365281542496891,0.07272862818090157,0.18450122781742295,0.28855508068195523,0.8181122108540926,0.02402042803592776,0.8009290317737957,0.8352953899343895,0.3650817490401589,0.054966184662797256,0.3257613092457965,0.4044021888345213,0.23932297963216698,0.06549446482605624,0.19247106191483723,0.28617489734949675,0.018489524899999665,0.0021372000000006606
pc3,SVM,10,0.8976325059392153,0.00016921365757164891,0.8975114577806839,0.8977535540977467,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7004930176029486,0.05191859872659192,0.6633526894546437,0.7376333457512535,0.274733445348406,0.03880626334056791,0.24697311687212858,0.3024937738246834,0.0,0.0,0.0,0.0,0.08359582500000044,0.011239925200001366
pc4,Logistic Regression,10,0.9104999293885045,0.0138137673162351,0.9006181555411198,0.9203817032358893,0.6963516865079364,0.039038602922201224,0.6684251523074032,0.7242782207084697,0.7434507365699317,0.10273384543582753,0.6699593707586737,0.8169421023811896,0.41301587301587295,0.07590444546171139,0.3587171037596224,0.4673146422721235,0.5279623427236529,0.07956893109414535,0.47104215836334573,0.5848825270839602,0.911539558531746,0.01644904088068949,0.8997726235408602,0.9233064935226317,0.6553793879137473,0.06980471212529844,0.6054441050243871,0.7053146708031075,0.5102530041060268,0.08446353682205013,0.4498314297361728,0.5706745784758808,0.01598077059999987,0.0020821871999999074
pc4,Random Forest,10,0.9074024384503131,0.009489911734083133,0.9006137645541169,0.9141911123465093,0.6618117559523811,0.03151132736813906,0.6392699103027234,0.6843536016020387,0.7920318896789486,0.11390591168196136,0.7105485091243596,0.8735152702335375,0.3369047619047619,0.06343940717743185,0.29152294386857974,0.382286579940944,0.4680917745262917,0.06672310978653674,0.42036093715147443,0.5158226119011089,0.9425206163194444,0.012177602855294801,0.9338092840185259,0.9512319486203629,0.689453049017089,0.06480639441892308,0.6430933472173082,0.7358127508168699,0.47551383239014733,0.06541050321471284,0.42872197719133,0.5223056875889647,0.1455625666000003,0.010489324799999977
pc4,SVM,10,0.8991914983759356,0.013618989287372528,0.8894490603366324,0.9089339364152388,0.6090240575396826,0.0345836525364864,0.5842844028634059,0.6337637122159593,0.8473051948051948,0.19751210045248674,0.7060135497302458,0.9885968398801439,0.22507936507936507,0.066591248177709,0.1774428558170575,0.27271587434167266,0.3504987587595208,0.09096791029992408,0.28542423590314225,0.41557328161589935,0.8873006572420635,0.028872322012377657,0.86664664229859,0.907954672185537,0.6207884785003441,0.07691355210585439,0.5657678378373272,0.6758091191633611,0.39997122874453694,0.10260661310993943,0.32657087945626806,0.47337157803280583,0.06220703329999999,0.010184858400000251
